Year,Maximum annual pensionable earnings,Basic exemption amount,Maximum contributory earnings,Employee and employer contribution rate (%),Maximum annual employee and employer contribution,Maximum annual self-employed contribution
2021,61600,3500,58100,5.45,3166.45,6332.90
2020,58700,3500,55200,5.25,2898.00,5796.00
2019,57400,3500,53900,5.1,2748.90,5497.80
2018,55900,3500,52400,4.95,2593.80,5187.60
2017,55300,3500,51800,4.95,2564.10,5128.20
2016,54900,3500,51400,4.95,2544.30,5088.60
2015,53600,3500,50100,4.95,2479.95,4959.90
2014,52500,3500,49000,4.95,2425.50,4851.00
2013,51100,3500,47600,4.95,2356.20,4712.40
2012,50100,3500,46600,4.95,2306.70,4613.40
2011,48300,3500,44800,4.95,2217.60,4435.20
2010,47200,3500,43700,4.95,2163.15,4326.30
