Year,Maximum annual insurable earnings,Rate (%),Maximum annual employee premium,Maximum annual employer premium
2021,56300,1.58,889.54,1245.36
2020,54200,1.58,856.36,1198.90
2019,53100,1.62,860.22,1204.31
2018,51700,1.66,858.22,1201.51
2017,51300,1.63,836.19,1170.67
2016,50800,1.88,955.04,1337.06
2015,49500,1.88,930.60,1302.84
2014,48600,1.88,913.68,1279.15
2013,47400,1.88,891.12,1247.57
2012,45900,1.83,839.97,1175.96
2011,44200,1.78,786.76,1101.46
2010,43200,1.73,747.36,1046.30
2009,42300,1.73,731.79,1024.51
2008,41100,1.73,711.03,995.44
2007,40000,1.8,720.00,1008.00
2006,39000,1.87,729.30,1021.02
2005,39000,1.95,760.50,1064.70
2004,39000,1.98,772.20,1081.08
2003,39000,2.1,819.00,1146.60
2002,39000,2.2,858.00,1201.20
2001,39000,2.25,877.50,1228.50
2000,39000,2.4,936.00,1310.49
1999,39000,2.55,994.50,1392.30
1998,39000,2.7,1053.00,1474.20
